Drug1_name,Drug1_ID,Chem_formula1,Drug2_name,drug2_Id,Chem_formula2,Severity,Interaction,Drug1_Description,Drug2_Description
Edoxaban,DB09075,C24H30ClN7O4S,Bivalirudin,DB00006,C98H138N24O33,MAJOR,0,Edoxaban is a novel oral anticoagulant used for reducing the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF).,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Edoxaban,DB09075,C24H30ClN7O4S,Rivaroxaban,DB06228,C19H18ClN3O5S,MINOR,1,Edoxaban is a novel oral anticoagulant used for reducing the risk of stroke and systemic embolism (SE) in patients with nonvalvular atrial fibrillation (NVAF).,Rivaroxaban is a factor Xa inhibitor used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). May also be used as thrombosis prophylaxis in specific situations.
Lovastatin,DB00227,C24H36O5,Rivaroxaban,DB06228,C19H18ClN3O5S,MINOR,1,"Lovastatin is an HMG-CoA reductase inhibitor used to lower LDL cholesterol and reduce the risk of cardiovascular disease and associated conditions, including myocardial infarction and stroke.",Rivaroxaban is a factor Xa inhibitor used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). May also be used as thrombosis prophylaxis in specific situations.
Tipranavir,DB00932,C31H33F3N2O5S,Simvastatin,DB00641,C25H38O5,MAJOR,0,Tipranavir is a protease inhibitor used to treat HIV-1 resistant to more than 1 protease inhibitor.,Simvastatin is an HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular events including myocardial infarction and stroke.
Ergotamine,DB00696,C33H35N5O5,Dihydroergotamine,DB00320,C33H37N5O5,MAJOR,0,Ergotamine is an alpha-1 selective adrenergic agonist vasoconstrictor used to treat migraines with or without aura and cluster headaches.,Dihydroergotamine is an ergot alkaloid used in the acute treatment of migraine headache and cluster headache.
Vorapaxar,DB09030,C29H33FN2O4,Simvastatin,DB00641,C25H38O5,MODERATE,1,Vorapaxar is a platelet aggregation inhibitor used to reduce thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD).,Simvastatin is an HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular events including myocardial infarction and stroke.
Tipranavir,DB00932,C31H33F3N2O5S,Vorapaxar,DB09030,C29H33FN2O4,MODERATE,1,Tipranavir is a protease inhibitor used to treat HIV-1 resistant to more than 1 protease inhibitor.,Vorapaxar is a platelet aggregation inhibitor used to reduce thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD).
Simvastatin,DB00641,C25H38O5,Midazolam,DB00683,C18H13ClFN3,MODERATE,1,Simvastatin is an HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular events including myocardial infarction and stroke.,"Midazolam is a short-acting benzodiazepine with rapid onset that is commonly used in seizures, anesthesia and anxiety disorders."
Vorapaxar,DB09030,C29H33FN2O4,Midazolam,DB00683,C18H13ClFN3,MODERATE,1,Vorapaxar is a platelet aggregation inhibitor used to reduce thrombotic cardiovascular events in patients with a history of myocardial infarction (MI) or peripheral arterial disease (PAD).,"Midazolam is a short-acting benzodiazepine with rapid onset that is commonly used in seizures, anesthesia and anxiety disorders."
Tipranavir,DB00932,C31H33F3N2O5S,Midazolam,DB00683,C18H13ClFN3,MODERATE,1,Tipranavir is a protease inhibitor used to treat HIV-1 resistant to more than 1 protease inhibitor.,"Midazolam is a short-acting benzodiazepine with rapid onset that is commonly used in seizures, anesthesia and anxiety disorders."
Tipranavir,DB00932,C31H33F3N2O5S,Bivalirudin,DB00006,C98H138N24O33,MINOR,1,Tipranavir is a protease inhibitor used to treat HIV-1 resistant to more than 1 protease inhibitor.,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Ergotamine,DB00696,C33H35N5O5,Bromocriptine,DB01200,C32H40BrN5O5,MAJOR,0,Ergotamine is an alpha-1 selective adrenergic agonist vasoconstrictor used to treat migraines with or without aura and cluster headaches.,"Bromocriptine is a dopamine D2 receptor agonist used for the treatment of galactorrhea due to hyperprolactinemia and other prolactin-related conditions, as well as in early Parkinsonian Syndrome."
Ergotamine,DB00696,C33H35N5O5,Cabergoline,DB00248,C26H37N5O2,MAJOR,0,Ergotamine is an alpha-1 selective adrenergic agonist vasoconstrictor used to treat migraines with or without aura and cluster headaches.,Cabergoline is a dopamine receptor agonist used for the treatment of hyperprolactinemic conditions due to various causes.
Cabergoline,DB00248,C26H37N5O2,Bromocriptine,DB01200,C32H40BrN5O5,MODERATE,1,Cabergoline is a dopamine receptor agonist used for the treatment of hyperprolactinemic conditions due to various causes.,"Bromocriptine is a dopamine D2 receptor agonist used for the treatment of galactorrhea due to hyperprolactinemia and other prolactin-related conditions, as well as in early Parkinsonian Syndrome."
Dihydroergotamine,DB00320,C33H35N5O8,Bromocriptine,DB01200,C32H40BrN5O5,MODERATE,1,Dihydroergotamine is an ergot alkaloid used in the acute treatment of migraine headache and cluster headache.,"Bromocriptine is a dopamine D2 receptor agonist used for the treatment of galactorrhea due to hyperprolactinemia and other prolactin-related conditions, as well as in early Parkinsonian Syndrome."
Cabergoline,DB00248,C26H37N5O2,Dihydroergotamine,DB00320,C33H37N5O5,MODERATE,1,Cabergoline is a dopamine receptor agonist used for the treatment of hyperprolactinemic conditions due to various causes.,Dihydroergotamine is an ergot alkaloid used in the acute treatment of migraine headache and cluster headache.
Methylergometrine,DB00353,C33H35N5O10,Ergonovine maleate,DB01253,C19H23N3O2,MAJOR,0,Methylergometrine is an ergot alkaloid used to prevent and control uterine atony and hemorrhage before and after delivery.,Ergometrine is an ergot alkaloid used for the treatment of postpartum haemorrhage and post abortion hemorrhage in patients with uterine atony.
Triazolam,DB00897,C33H35N5O11,Ethinylestradiol,DB00977,"
C20H24O2",MINOR,1,Triazolam is a benzodiazepine used for short term treatment of insomnia.,Ethinylestradiol is an estradiol used as a contraceptive.
Mestranol,DB00864,C44H69NO12,Tacrolimus,DB00864,"
C44H69NO12",MAJOR,0,Tacrolimus is a calcineurin inhibitor used to prevent organ transplant rejection and to treat moderate to severe atopic dermatitis.,Tacrolimus is a calcineurin inhibitor used to prevent organ transplant rejection and to treat moderate to severe atopic dermatitis.
Estradiol,DB00783,C18H24O2,Tacrolimus,DB00864,C44H69NO12,MAJOR,0,"Estradiol is an estrogenic steroid used to treat vasomotor symptoms of vulvar and vaginal atrophy in menopause, hypoestrogenism, prevention of postmenopausal osteoporosis, treatment of breast cancer, and advanced androgen-dependent carcinoma of the prostate.",Tacrolimus is a calcineurin inhibitor used to prevent organ transplant rejection and to treat moderate to severe atopic dermatitis.
Tacrolimus,DB00864,C44H69NO12,Cyclosporine,DB00091,C62H111N11O12,MAJOR,0,Tacrolimus is a calcineurin inhibitor used to prevent organ transplant rejection and to treat moderate to severe atopic dermatitis.,"Cyclosporine is a steroid-sparing immunosuppressant used in organ and bone marrow transplants as well as inflammatory conditions such as ulcerative colitis, rheumatoid arthritis, and atopic dermatitis."
Bivalirudin,DB00006,C98H138N24O33,Tacrolimus,DB00864,"
C44H69NO12",MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Tacrolimus is a calcineurin inhibitor used to prevent organ transplant rejection and to treat moderate to severe atopic dermatitis.
Alprazolam,DB00404,C17H13ClN4,Carbamazepine,DB00564,C15H12N2O,MAJOR,0,Alprazolam is a triazolobenzodiazepine with intermediate onset commonly used to treat panic disorders and generalized anxiety in addition to anxiety associated with depression.,Carbamazepine is an anticonvulsant used to treat various types of seizures and pain resulting from trigeminal neuralgia.
Bivalirudin,DB00006,C98H138N24O33,Carbamazepine,DB00564,C15H12N2O,MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Carbamazepine is an anticonvulsant used to treat various types of seizures and pain resulting from trigeminal neuralgia.
Nefazodone,DB01149,C25H32ClN5O2,Allylestrenol,DB01431,C21H32O,MAJOR,0,Nefazodone is an antidepressant used in the treatment of depression.,Allylestrenol is a steroid used to prevent premature labour in pregnant women.
Nefazodone,DB01149,C25H32ClN5O2,Testosterone cypionate,DB13943,C27H40O3,MAJOR,0,Nefazodone is an antidepressant used in the treatment of depression.,Testosterone cypionate is an androgen used to treat low or absent testosterone.
Nefazodone,DB01149,C25H32ClN5O2,Testosterone enanthate,DB13944,C26H40O3,MAJOR,0,Nefazodone is an antidepressant used in the treatment of depression.,Testosterone enanthate is an androgen used to treat low or absent testosterone.
Allylestrenol,DB01431,C21H32O,Testosterone cypionate,DB13943,C27H40O3,MINOR,1,Allylestrenol is a steroid used to prevent premature labour in pregnant women.,Testosterone cypionate is an androgen used to treat low or absent testosterone.
Allylestrenol,DB01431,C21H32O,Testosterone enanthate,DB13944,C26H40O3,MINOR,1,Allylestrenol is a steroid used to prevent premature labour in pregnant women.,Testosterone enanthate is an androgen used to treat low or absent testosterone.
Gestodene,DB00783,C18H24O2,Hydroxyprogesterone caproate,DB06789,C27H40O4,MINOR,1,"Estradiol is an estrogenic steroid used to treat vasomotor symptoms of vulvar and vaginal atrophy in menopause, hypoestrogenism, prevention of postmenopausal osteoporosis, treatment of breast cancer, and advanced androgen-dependent carcinoma of the prostate.",Hydroxyprogesterone caproate is a synthetic progestin used for the prevention of spontaneous preterm births in singleton pregnancies in women who have previously had a spontaneous preterm birth.
Megestrol acetate,DB00351,C24H32O4,Dienogest,DB09123,C20H25NO2,MINOR,1,Megestrol acetate is a progestin that is administered orally to treat anorexia and cachexia or serious unexplained weight loss and is also used as an antineoplastic agent to treat certain types of malignancy.,Dienogest is an oral progestin used for the treatment of endometriosis as monotherapy or contraception in combination with ethinylestradiol.
Drospirenone,DB01395,C24H30O3,Testosterone undecanoate,DB13946,C30H48O3,MINOR,1,Drospirenone is a progestin used in oral contraceptive pills for the prevention of pregnancy and other conditions.,Testosterone undecanoate is an androgen indicated for testosterone replacement therapy in adult males with primary hypogonadism and hypogonadotropic hypogonadism.
Diltiazem,DB00343,C22H26N2O4S,Sildenafil,DB00203,C22H30N6O4S,MAJOR,0,Diltiazem is a calcium channel blocker used to treat hypertension and to manage chronic stable angina.,Sildenafil is a phosphodiesterase inhibitor used for the treatment of erectile dysfunction.
Diltiazem,DB00343,C22H26N2O4S,Temsirolimus,DB06287,C56H87NO16,MAJOR,0,Diltiazem is a calcium channel blocker used to treat hypertension and to manage chronic stable angina.,Temsirolimus is a antineoplastic agent used in the treatment of renal cell carcinoma (RCC) that works by inhibiting mTOR.
Sildenafil,DB00203,C22H30N6O4S,Riociguat,DB08931,C20H19FN8O2,MAJOR,0,Sildenafil is a phosphodiesterase inhibitor used for the treatment of erectile dysfunction.,Riociguat is a stimulator of soluble guanylate cyclase indicated for the management of persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension.
Sildenafil,DB00203,C22H30N6O4S,Temsirolimus,DB06287,C56H87NO16,MAJOR,0,Sildenafil is a phosphodiesterase inhibitor used for the treatment of erectile dysfunction.,Temsirolimus is a antineoplastic agent used in the treatment of renal cell carcinoma (RCC) that works by inhibiting mTOR.
Bivalirudin,DB00006,C98H138N24O33,Temsirolimus,DB06287,"
C56H87NO16",MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Temsirolimus is a antineoplastic agent used in the treatment of renal cell carcinoma (RCC) that works by inhibiting mTOR.
Bivalirudin,DB00006,C98H138N24O33,Sildenafil,DB00203,"
C22H30N6O4S",MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Sildenafil is a phosphodiesterase inhibitor used for the treatment of erectile dysfunction.
Diltiazem,DB00343,C25H24N6O2,Temsirolimus,DB06287,C56H87NO16,MAJOR,0,Diltiazem is a calcium channel blocker used to treat hypertension and to manage chronic stable angina.,Temsirolimus is a antineoplastic agent used in the treatment of renal cell carcinoma (RCC) that works by inhibiting mTOR.
Bivalirudin,DB00006,C98H138N24O33,Temsirolimus,DB06287,C56H87NO16,MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Temsirolimus is a antineoplastic agent used in the treatment of renal cell carcinoma (RCC) that works by inhibiting mTOR.
Pentosan Polysulfate,DB00686,C10H18O21S4,Temsirolimus,DB06287,C56H87NO16,MINOR,1,Pentosan polysulfate is a sulfated pentosyl polysaccharide used to treat bladder pain and discomfort due to interstitial cystitis.,Temsirolimus is a antineoplastic agent used in the treatment of renal cell carcinoma (RCC) that works by inhibiting mTOR.
Pentosan Polysulfate,DB00686,C10H18O21S4,Bivalirudin,DB00006,C98H138N24O33,MINOR,1,Pentosan polysulfate is a sulfated pentosyl polysaccharide used to treat bladder pain and discomfort due to interstitial cystitis.,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Clomipramine,DB01242,C19H23ClN2,Trimipramine,DB00726,C20H26N2,MAJOR,0,"Clomipramine is a tricyclic antidepressant used in the treatment of obsessive-compulsive disorder and disorders with an obsessive-compulsive component, such as depression, schizophrenia, and Tourette’s disorder.",Trimipramine is a tricyclic antidepressant used to treat depression.
Doxepin,DB01142,C19H21NO,Clomipramine,DB01242,C19H23ClN2,MAJOR,0,"Doxepin is a psychotropic agent used for the treatment of depression, anxiety, manic-depressive disorder, and insomnia.","Clomipramine is a tricyclic antidepressant used in the treatment of obsessive-compulsive disorder and disorders with an obsessive-compulsive component, such as depression, schizophrenia, and Tourette’s disorder."
Trimipramine,DB00726,"
C20H26N2",Doxepin,DB01142,C19H21NO,MAJOR,0,Trimipramine is a tricyclic antidepressant used to treat depression.,"Doxepin is a psychotropic agent used for the treatment of depression, anxiety, manic-depressive disorder, and insomnia."
Bivalirudin,DB00006,C98H138N24O33,Cyclophosphamide,DB00531,C7H15Cl2N2O2P,MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,"Cyclophosphamide is a nitrogen mustard used to treat lymphomas, myelomas, leukemia, mycosis fungoides, neuroblastoma, ovarian adenocarcinoma, retinoblastoma, and breast carcinoma."
Cyclophosphamide,DB00531,"
C7H15Cl2N2O2P",Amoxapine,DB00543,C17H16ClN3O,MINOR,1,"Cyclophosphamide is a nitrogen mustard used to treat lymphomas, myelomas, leukemia, mycosis fungoides, neuroblastoma, ovarian adenocarcinoma, retinoblastoma, and breast carcinoma.",Amoxapine is a tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.
Digoxin,DB00390,C41H64O14,Amoxapine,DB00543,C17H16ClN3O,MINOR,1,Digoxin is a cardiac glycoside used in the treatment of mild to moderate heart failure and for ventricular response rate control in chronic atrial fibrillation.,Amoxapine is a tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.
Digoxin,DB00390,"
C41H64O14",Cyclophosphamide,DB00531,"
C7H15Cl2N2O2P",MINOR,1,Digoxin is a cardiac glycoside used in the treatment of mild to moderate heart failure and for ventricular response rate control in chronic atrial fibrillation.,"Cyclophosphamide is a nitrogen mustard used to treat lymphomas, myelomas, leukemia, mycosis fungoides, neuroblastoma, ovarian adenocarcinoma, retinoblastoma, and breast carcinoma."
Etravirine,DB00390,C24H40O4,Dasatinib,DB01254,C22H26ClN7O2S,MAJOR,0,Digoxin is a cardiac glycoside used in the treatment of mild to moderate heart failure and for ventricular response rate control in chronic atrial fibrillation.,Dasatinib is a tyrosine kinase inhibitor used for the treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia or chronic myeloid leukemia.
Deferasirox,DB01609,C21H15N3O4,Dasatinib,DB01254,C22H26ClN7O2S,MINOR,1,"Deferasirox is an iron chelator used to treat chronic iron overload caused by blood transfusions.  Also used in patients with non-transfusion-dependent thalassemia syndromes, and in patients with elevated liver iron concentration and serum ferritin.",Dasatinib is a tyrosine kinase inhibitor used for the treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia or chronic myeloid leukemia.
Bivalirudin,DB00006,C98H138N24O33,Deoxycholic Acid,DB03619,C24H40O4,MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Deoxycholic acid is a cytolytic agent injected subcutaneously to improve the appearance submental fat.
Ibrutinib,DB09053,C25H24N6O2,Bivalirudin,DB00006,C98H138N24O33,MINOR,1,"Ibrutinib is an antineoplastic agent used to treat chronic lymphocytic leukemia, mantle cell lymphoma, and Waldenstrom's Macroglobulinemia.",Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Limaprost,DB09211,C22H36O5,Bivalirudin,DB00006,C98H138N24O33,MINOR,1,"Limaprost is an oral prostaglandin E1 analogue used to improve symptoms associated with thromboangiitis obliterans, acquired lumbar spinal canal stenosis, and other ischemic conditions.",Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Bivalirudin,DB00006,C98H138N24O33,Sugammadex,DB06206,"
C72H112O48S8",MINOR,1,Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.,Sugammadex is a modified gamma cyclodextrin used to reverse neuromuscular blockade induced by vecuronium bromide and rocuronium bromide which are agents used for anesthesia.
Ibrutinib,DB09053,C25H24N6O2,Limaprost,DB09211,C22H36O5,MINOR,1,"Ibrutinib is an antineoplastic agent used to treat chronic lymphocytic leukemia, mantle cell lymphoma, and Waldenstrom's Macroglobulinemia.","Limaprost is an oral prostaglandin E1 analogue used to improve symptoms associated with thromboangiitis obliterans, acquired lumbar spinal canal stenosis, and other ischemic conditions."
Limaprost,DB09211,C22H36O5,Sugammadex,DB06206,C72H112O48S8,MINOR,1,"Limaprost is an oral prostaglandin E1 analogue used to improve symptoms associated with thromboangiitis obliterans, acquired lumbar spinal canal stenosis, and other ischemic conditions.",Sugammadex is a modified gamma cyclodextrin used to reverse neuromuscular blockade induced by vecuronium bromide and rocuronium bromide which are agents used for anesthesia.
Ketorolac,DB00465,C15H13NO3,Diclofenac,DB00586,C14H11Cl2NO2,MAJOR,0,"Ketorolac is an NSAID used to treat moderate to severe pain, rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, menstrual disorders, and headaches.",Diclofenac is an NSAID used to treat the signs and symptoms of osteoarthritis and rheumatoid arthritis.
Ketorolac,DB00465,C15H13NO3,Flurbiprofen,DB00712,C15H13FO2,MAJOR,0,"Ketorolac is an NSAID used to treat moderate to severe pain, rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, menstrual disorders, and headaches.",Flurbiprofen is an NSAID used to treat the signs and symptoms of osteoarthritis and rheumatoid arthritis.
Tibolone,DB09070,C21H28O2,Bivalirudin,DB00006,C98H138N24O33,MINOR,1,"Tibolone is a synthetic steroid hormone drug, which is mainly non-selective in its binding profile, acting as an agonist primarily at estrogen receptors (ER), with a preference for ER alpha...",Bivalirudin is a direct thrombin inhibitor used to treat heparin-induced thrombocytopenia and to prevent thrombosis during percutaneous coronary intervention.
Pimecrolimus,DB00337,C43H68ClNO11,Indomethacin,DB00328,C19H16ClNO4,MAJOR,0,Pimecrolimus is a topical calcineurin inhibitor used in the treatment of mild-moderate atopic dermatitis who are not candidates for other types of therapy due to previous lack of response or other reasons.,Indomethacin is a nonsteroidal anti-inflammatory (NSAID) used for symptomatic management of chronic musculoskeletal pain conditions and to induce closure of a hemodynamically significant patent ductus arteriosus in premature infants.
Valdecoxib,DB00580,C16H14N2O3S,Mycophenolate mofetil,DB00688,C23H31NO7,MINOR,1,Valdecoxib is a COX-2 inhibitor used to treat osteoarthritis and dysmenorrhoea.,"Mycophenolate mofetil is an inosine monophosphate dehydrogenase inhibitor used to prevent the rejection of kidney, heart, or liver transplants."
Sulindac,DB00605,"
C20H17FO3S",Chloroquine,DB00608,"
C18H26ClN3",MINOR,1,"Sulindac is an NSAID used to treat osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute subacromial bursitis or supraspinatus tendinitis, and acute gouty arthritis.","Chloroquine is an antimalarial drug used to treat susceptible infections with P. vivax, P. malariae, P. ovale, and P. falciparum. It is also used for second line treatment for rheumatoid arthritis."
Valdecoxib,DB00580,C16H14N2O3S,Chloroquine,DB00608,"
C18H26ClN3",MINOR,1,Valdecoxib is a COX-2 inhibitor used to treat osteoarthritis and dysmenorrhoea.,"Chloroquine is an antimalarial drug used to treat susceptible infections with P. vivax, P. malariae, P. ovale, and P. falciparum. It is also used for second line treatment for rheumatoid arthritis."
Sulindac,DB00605,C20H17FO3S,Mycophenolate mofetil,DB00688,C23H31NO7,MINOR,1,"Sulindac is an NSAID used to treat osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute subacromial bursitis or supraspinatus tendinitis, and acute gouty arthritis.","Mycophenolate mofetil is an inosine monophosphate dehydrogenase inhibitor used to prevent the rejection of kidney, heart, or liver transplants."
Zileuton,DB00744,"
C11H12N2O2S",Etodolac,DB00749,"
C17H21NO3",MINOR,1,Zileuton is a leukotriene synthesis inhibitor used in the prophylaxis and treatment of chronic asthma.,"Etodolac is an NSAID used to treat osteoarthritis and rheumatoid arthritis, as well as acute pain."
Acetylsalicylic acid,DB00945,C9H8O4,Azelastine,DB00972,C22H24ClN3O,MINOR,1,"Aspirin is a salicylate used to treat pain, fever, inflammation, migraines, and reducing the risk of major adverse cardiovascular events.",Azelastine is a histamine H1-receptor antagonist used intranasally to treat allergic and vasomotor rhinitis and in an ophthalmic solution to treat allergic conjunctivitis.
Ketoprofen,DB01009,C16H14O3,Azelastine,DB00972,C22H24ClN3O,MINOR,1,"Ketoprofen is an NSAID used to treat rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, dysmenorrhea, mild to moderate muscle pain, postoperative pain, and postpartum pain.",Azelastine is a histamine H1-receptor antagonist used intranasally to treat allergic and vasomotor rhinitis and in an ophthalmic solution to treat allergic conjunctivitis.
Ibuprofen,DB01050,C13H18O2,Mycophenolic acid,DB01024,C17H20O6,MINOR,1,"Ibuprofen is an NSAID and non-selective COX inhibitor used to treat mild-moderate pain, fever, and inflammation.",Mycophenolic acid is an immunosuppressant used to prevent organ transplant rejections.
Balsalazide,DB01014,C17H15N3O6,Mycophenolic acid,DB01024,C17H20O6,MINOR,1,Balsalazide is an aminosalicylate used to treat ulcerative colitis.,Mycophenolic acid is an immunosuppressant used to prevent organ transplant rejections.
Choline magnesium trisalicylate,DB01401,"
C26H29MgNO10",Olsalazine,DB01250,C14H10N2O6,MINOR,1,"Choline magnesium trisalicylate is a non-acetylated salicylate used widely as a nonsteroidal anti-inflammatory drug. Trisalicylate significantly reduces methotrexate renal clearance, displacing methotrexate from protein, increasing the fraction unbound by 28%...",Olsalazine is an anti-inflammatory aminosalicylate used in the treatment of inflammatory bowel disease and ulcerative colitis.
Salsalate,DB01399,C14H10O5,Olsalazine,DB01250,C14H10N2O6,MINOR,1,"Salsalate is a nonsteroidal anti-inflammatory agent used in the symptomatic relief of rheumatoid arthritis, osteoarthritis and related rheumatic disorders.",Olsalazine is an anti-inflammatory aminosalicylate used in the treatment of inflammatory bowel disease and ulcerative colitis.
Magnesium salicylate,DB01397,"
C14H10MgO6",Olsalazine,DB01250,C14H10N2O6,MINOR,1,Magnesium salicylate is an NSAID analgesic used in the symptomatic relief of mild to moderate muscular pain.,Olsalazine is an anti-inflammatory aminosalicylate used in the treatment of inflammatory bowel disease and ulcerative colitis.
